sr,Locality_Name,"Post_
Code",Municipality_Name,"Ward_
Name",LGA,District_Name,"District_
Code","Region_
Name","Region_
Code"
1955,Lake Mundi,3312,Glenelg Shire Council,Unsubdivided,51701,Lowan,44,Western Victoria,8
1956,Lake Powell,3597,Swan Hill Rural City Council,Unsubdivided,57001,Mildura,49,Northern Victoria,4
1957,Lake Rowan,3727,Moira Shire Council,Unsubdivided,52901,Ovens Valley,65,Northern Victoria,4
1958,Lake Tyers,3887,East Gippsland Shire Council,Unsubdivided,53601,Gippsland East,35,Eastern Victoria,2
1959,Lake Tyers Beach,3909,East Gippsland Shire Council,Unsubdivided,53601,Gippsland East,35,Eastern Victoria,2
1960,Lake Wendouree,3350,Ballarat City Council,Central,50301,Wendouree,84,Western Victoria,8
1961,Lake Wongan,3373,Pyrenees Shire Council,Mount Emu,51905,Ripon,72,Western Victoria,8
1962,Lakes Entrance,3909,East Gippsland Shire Council,Unsubdivided,53601,Gippsland East,35,Eastern Victoria,2
1963,Lal Lal,3352,Moorabool Shire Council,West Moorabool,50403,Buninyong,16,Western Victoria,8
1964,Lalbert,3542,Gannawarra Shire Council,Avoca,57201,Murray Plains,57,Northern Victoria,4
1965,Lalor,3075,Whittlesea City Council,South East,56002,Thomastown,82,Northern Metropolitan,3
1966,Lalor,3075,Whittlesea City Council,South West,56003,Thomastown,82,Northern Metropolitan,3
1967,Lamplough,3352,Pyrenees Shire Council,Avoca,51901,Ripon,72,Western Victoria,8
1968,Lancaster,3620,Campaspe Shire Council,Kyabram-Deakin,52302,Murray Plains,57,Northern Victoria,4
1969,Lancaster,3620,Greater Shepparton City Council,Unsubdivided,52501,Murray Plains,57,Northern Victoria,4
1970,Lance Creek,3995,Bass Coast Shire Council,Western Port,53403,Bass,3,Eastern Victoria,2
1971,Lancefield,3435,Macedon Ranges Shire Council,East,56601,Macedon,45,Northern Victoria,4
1972,Landsborough,3384,Pyrenees Shire Council,De Cameron,51903,Ripon,72,Western Victoria,8
1973,Landsborough West,3384,Northern Grampians Shire Council,Central,57401,Ripon,72,Western Victoria,8
1974,Landsborough West,3384,Pyrenees Shire Council,De Cameron,51903,Ripon,72,Western Victoria,8
1975,Lang Lang,3984,Bass Coast Shire Council,Western Port,53403,Bass,3,Eastern Victoria,2
1976,Lang Lang,3984,Cardinia Shire Council,Westernport,54309,Bass,3,Eastern Victoria,2
1977,Lang Lang,3984,South Gippsland Shire Council,Strzelecki,53802,Gippsland South,36,Eastern Victoria,2
1978,Lang Lang East,3984,Cardinia Shire Council,Westernport,54309,Bass,3,Eastern Victoria,2
1979,Langdons Hill,3363,Hepburn Shire Council,Creswick,56404,Ripon,72,Western Victoria,8
1980,Langi Kal Kal,3352,Pyrenees Shire Council,Ercildoune,51904,Ripon,72,Western Victoria,8
1981,Langi Logan,3377,Ararat Rural City Council,Unsubdivided,51401,Ripon,72,Western Victoria,8
1982,Langkoop,3318,West Wimmera Shire Council,Unsubdivided,57501,Lowan,44,Western Victoria,8
1983,Langley,3444,Mount Alexander Shire Council,Coliban,56703,Macedon,45,Northern Victoria,4
1984,Langsborough,3971,Wellington Shire Council,Coastal,53902,Gippsland South,36,Eastern Victoria,2
1985,Langwarrin,3910,Frankston City Council,North-East,54501,Hastings,37,Eastern Victoria,2
1986,Langwarrin,3910,Frankston City Council,South,54503,Hastings,37,Eastern Victoria,2
1987,Langwarrin South,3911,Frankston City Council,South,54503,Hastings,37,Eastern Victoria,2
1988,Lara,3212,Greater Geelong City Council,Windermere,50604,Lara,43,Western Victoria,8
1989,Lardner,3821,Baw Baw Shire Council,Central,53501,Narracan,58,Eastern Victoria,2
1990,Lardner,3821,Baw Baw Shire Council,East,53502,Narracan,58,Eastern Victoria,2
1991,Larpent,3249,Colac Otway Shire Council,Unsubdivided,51501,Polwarth,67,Western Victoria,8
1992,Larralea,3325,Corangamite Shire Council,North,51603,Polwarth,67,Western Victoria,8
1993,Lascelles,3487,Yarriambiack Shire Council,Hopetoun,57602,Mildura,49,Northern Victoria,4
1994,Launching Place,3139,Yarra Ranges Shire Council,O'Shannassy,56206,Eildon,24,Northern Victoria,4
1995,Launching Place,3139,Yarra Ranges Shire Council,Ryrie,56207,Eildon,24,Northern Victoria,4
1996,Lauriston,3444,Macedon Ranges Shire Council,West,56603,Macedon,45,Northern Victoria,4
1997,Lavers Hill,3238,Colac Otway Shire Council,Unsubdivided,51501,Polwarth,67,Western Victoria,8
1998,Laverton,3028,Hobsons Bay City Council,Wetlands,50903,Altona,2,Western Metropolitan,7
1999,Laverton,3028,Wyndham City Council,Harrison,56102,Altona,2,Western Metropolitan,7
2000,Laverton North,3026,Wyndham City Council,Harrison,56102,Tarneit,81,Western Metropolitan,7
2001,Lawler,3480,Buloke Shire Council,Mount Jeffcott,57103,Ripon,72,Western Victoria,8
2002,Lawler,3480,Yarriambiack Shire Council,Warracknabeal,57603,Lowan,44,Western Victoria,8
2003,Lawloit,3418,West Wimmera Shire Council,Unsubdivided,57501,Lowan,44,Western Victoria,8
2004,Lawrence,3364,Hepburn Shire Council,Cameron,56402,Ripon,72,Western Victoria,8
2005,Lawrence,3364,Hepburn Shire Council,Creswick,56404,Ripon,72,Western Victoria,8
2006,Leaghur,3537,Loddon Shire Council,Boort,56501,Murray Plains,57,Northern Victoria,4
2007,Learmonth,3352,Ballarat City Council,North,50302,Ripon,72,Western Victoria,8
2008,Ledcourt,3385,Northern Grampians Shire Council,Central,57401,Lowan,44,Western Victoria,8
2009,Ledcourt,3385,Northern Grampians Shire Council,South West,57403,Lowan,44,Western Victoria,8
2010,Leichardt,3516,Greater Bendigo City Council,Lockwood,50202,Bendigo West,8,Northern Victoria,4
2011,Leichardt,3516,Loddon Shire Council,Inglewood,56502,Ripon,72,Western Victoria,8
2012,Leigh Creek,3352,Moorabool Shire Council,West Moorabool,50403,Buninyong,16,Western Victoria,8
2013,Leitchville,3567,Gannawarra Shire Council,Patchell,57203,Murray Plains,57,Northern Victoria,4
2014,Leitchville,3567,Gannawarra Shire Council,Yarran,57204,Murray Plains,57,Northern Victoria,4
2015,Leitchville,3567,Loddon Shire Council,Terrick,56504,Murray Plains,57,Northern Victoria,4
2016,Lemnos,3631,Greater Shepparton City Council,Unsubdivided,52501,Shepparton,75,Northern Victoria,4
2017,Leneva,3691,Wodonga City Council,Unsubdivided,53301,Benambra,6,Northern Victoria,4
2018,Leonards Hill,3461,Hepburn Shire Council,Birch,56401,Macedon,45,Northern Victoria,4
2019,Leongatha,3953,South Gippsland Shire Council,Strzelecki,53802,Gippsland South,36,Eastern Victoria,2
2020,Leongatha,3953,South Gippsland Shire Council,Tarwin Valley,53803,Gippsland South,36,Eastern Victoria,2
2021,Leongatha North,3953,South Gippsland Shire Council,Tarwin Valley,53803,Gippsland South,36,Eastern Victoria,2
2022,Leongatha South,3953,South Gippsland Shire Council,Strzelecki,53802,Gippsland South,36,Eastern Victoria,2
2023,Leongatha South,3953,South Gippsland Shire Council,Tarwin Valley,53803,Gippsland South,36,Eastern Victoria,2
2024,Leopold,3224,Greater Geelong City Council,Bellarine,50601,Bellarine,5,Western Victoria,8
2025,Lerderderg,3458,Moorabool Shire Council,Woodlands,50404,Macedon,45,Northern Victoria,4
2026,Leslie Manor,3260,Corangamite Shire Council,Central,51601,Polwarth,67,Western Victoria,8
2027,Leslie Manor,3260,Corangamite Shire Council,North,51603,Polwarth,67,Western Victoria,8
2028,Lethbridge,3332,Golden Plains Shire Council,Unsubdivided,50501,Buninyong,16,Western Victoria,8
2029,Lexton,3352,Pyrenees Shire Council,Ercildoune,51904,Ripon,72,Western Victoria,8
2030,Licola,3858,Wellington Shire Council,Northern,53903,Gippsland East,35,Eastern Victoria,2
2031,Licola North,3858,Wellington Shire Council,Northern,53903,Gippsland East,35,Eastern Victoria,2
2032,Lillico,3820,Baw Baw Shire Council,East,53502,Narracan,58,Eastern Victoria,2
2033,Lillicur,3371,Central Goldfields Shire Council,Paddys Ranges,56303,Ripon,72,Western Victoria,8
2034,Lillicur,3371,Pyrenees Shire Council,Ercildoune,51904,Ripon,72,Western Victoria,8
2035,Lillimur,3420,West Wimmera Shire Council,Unsubdivided,57501,Lowan,44,Western Victoria,8
2036,Lilliput,3682,Indigo Shire Council,Unsubdivided,52601,Benambra,6,Northern Victoria,4
2037,Lilydale,3140,Yarra Ranges Shire Council,Billanook,56201,Evelyn,28,Eastern Victoria,2
2038,Lilydale,3140,Yarra Ranges Shire Council,Melba,56205,Evelyn,28,Eastern Victoria,2
2039,Lilydale,3140,Yarra Ranges Shire Council,Melba,56205,Monbulk,51,Eastern Victoria,2
2040,Lilydale,3140,Yarra Ranges Shire Council,Ryrie,56207,Evelyn,28,Eastern Victoria,2
2041,Lilydale,3140,Yarra Ranges Shire Council,Walling,56209,Monbulk,51,Eastern Victoria,2
2042,Lima,3673,Benalla Rural City Council,Unsubdivided,57901,Euroa,27,Northern Victoria,4
2043,Lima East,3673,Benalla Rural City Council,Unsubdivided,57901,Euroa,27,Northern Victoria,4
2044,Lima South,3673,Benalla Rural City Council,Unsubdivided,57901,Euroa,27,Northern Victoria,4
2045,Lima South,3673,Mansfield Shire Council,Unsubdivided,58001,Eildon,24,Northern Victoria,4
2046,Limestone,3717,Murrindindi Shire Council,Koriella,53006,Eildon,24,Northern Victoria,4
2047,Lindenow,3865,East Gippsland Shire Council,Unsubdivided,53601,Gippsland East,35,Eastern Victoria,2
2048,Lindenow South,3875,East Gippsland Shire Council,Unsubdivided,53601,Gippsland East,35,Eastern Victoria,2
2049,Lindsay,3312,Glenelg Shire Council,Unsubdivided,51701,Lowan,44,Western Victoria,8
2050,Lindsay Point,3496,Mildura Rural City Council,Unsubdivided,56901,Mildura,49,Northern Victoria,4
2051,Linga,3509,Mildura Rural City Council,Unsubdivided,56901,Mildura,49,Northern Victoria,4
2052,Linton,3360,Golden Plains Shire Council,Unsubdivided,50501,Buninyong,16,Western Victoria,8
2053,Linton,3360,Pyrenees Shire Council,Mount Emu,51905,Ripon,72,Western Victoria,8
2054,Liparoo,3549,Swan Hill Rural City Council,Unsubdivided,57001,Mildura,49,Northern Victoria,4
2055,Lismore,3324,Corangamite Shire Council,North,51603,Polwarth,67,Western Victoria,8
2056,Litchfield,3480,Buloke Shire Council,Mount Jeffcott,57103,Ripon,72,Western Victoria,8
2057,Little Desert,3418,Hindmarsh Shire Council,West,57303,Lowan,44,Western Victoria,8
2058,Little Hampton,3458,Hepburn Shire Council,Coliban,56403,Macedon,45,Northern Victoria,4
2059,Little River,3211,Greater Geelong City Council,Windermere,50604,Lara,43,Western Victoria,8
2060,Little River,3211,Wyndham City Council,Iramoo,56103,Werribee,85,Western Metropolitan,7
2061,Llanelly,3551,Loddon Shire Council,Tarnagulla,56503,Ripon,72,Western Victoria,8
2062,Llowalong,3862,Wellington Shire Council,Northern,53903,Gippsland East,35,Eastern Victoria,2
2063,Loch,3945,Bass Coast Shire Council,Western Port,53403,Bass,3,Eastern Victoria,2
2064,Loch,3945,South Gippsland Shire Council,Strzelecki,53802,Gippsland South,36,Eastern Victoria,2
2065,Loch Sport,3851,Wellington Shire Council,Coastal,53902,Gippsland South,36,Eastern Victoria,2
2066,Lockington,3563,Campaspe Shire Council,Rochester,52303,Murray Plains,57,Northern Victoria,4
2067,Lockington,3563,Campaspe Shire Council,Western,52305,Murray Plains,57,Northern Victoria,4
2068,Locksley,3665,Strathbogie Shire Council,Hughes Creek,53102,Euroa,27,Northern Victoria,4
2069,Lockwood,3551,Greater Bendigo City Council,Lockwood,50202,Bendigo West,8,Northern Victoria,4
2070,Lockwood South,3551,Greater Bendigo City Council,Lockwood,50202,Bendigo West,8,Northern Victoria,4
2071,Loddon Vale,3575,Loddon Shire Council,Boort,56501,Murray Plains,57,Northern Victoria,4
2072,Logan,3475,Loddon Shire Council,Wedderburn,56505,Ripon,72,Western Victoria,8
2073,Logan,3475,Northern Grampians Shire Council,Kara Kara,57402,Ripon,72,Western Victoria,8
2074,Londrigan,3678,Wangaratta Rural City Council,North,52702,Ovens Valley,65,Northern Victoria,4
2075,Long Forest,3340,Moorabool Shire Council,East Moorabool,50402,Melton,48,Western Victoria,8
2076,Long Gully,3550,Greater Bendigo City Council,Whipstick,50203,Bendigo West,8,Northern Victoria,4
2077,Longerenong,3401,Horsham Rural City Council,Unsubdivided,56801,Lowan,44,Western Victoria,8
2078,Longerenong,3401,Yarriambiack Shire Council,Dunmunkle,57601,Lowan,44,Western Victoria,8
2079,Longford,3851,Wellington Shire Council,Central,53901,Gippsland South,36,Eastern Victoria,2
2080,Longford,3851,Wellington Shire Council,Coastal,53902,Gippsland South,36,Eastern Victoria,2
2081,Longlea,3551,Greater Bendigo City Council,Eppalock,50201,Bendigo East,7,Northern Victoria,4
2082,Longwarry,3816,Baw Baw Shire Council,West,53503,Narracan,58,Eastern Victoria,2
2083,Longwarry,3816,Cardinia Shire Council,Westernport,54309,Narracan,58,Eastern Victoria,2
2084,Longwarry North,3816,Baw Baw Shire Council,West,53503,Narracan,58,Eastern Victoria,2
2085,Longwood,3665,Strathbogie Shire Council,Hughes Creek,53102,Euroa,27,Northern Victoria,4
2086,Longwood,3665,Strathbogie Shire Council,Mount Wombat,53104,Euroa,27,Northern Victoria,4
2087,Longwood East,3666,Strathbogie Shire Council,Hughes Creek,53102,Euroa,27,Northern Victoria,4
2088,Longwood East,3666,Strathbogie Shire Council,Mount Wombat,53104,Euroa,27,Northern Victoria,4
2089,Lorne,3232,Surf Coast Shire Council,Lorne,50102,Polwarth,67,Western Victoria,8
2090,Lorquon,3418,Hindmarsh Shire Council,North,57302,Lowan,44,Western Victoria,8
2091,Lovely Banks,3213,Greater Geelong City Council,Windermere,50604,Lara,43,Western Victoria,8
2092,Lower Moira,3639,Moira Shire Council,Unsubdivided,52901,Shepparton,75,Northern Victoria,4
2093,Lower Norton,3401,Horsham Rural City Council,Unsubdivided,56801,Lowan,44,Western Victoria,8
2094,Lower Plenty,3093,Banyule City Council,Sherbourne,54009,Eltham,25,Eastern Metropolitan,1
2095,Lubeck,3385,Northern Grampians Shire Council,Central,57401,Lowan,44,Western Victoria,8
2096,Lubeck,3385,Yarriambiack Shire Council,Dunmunkle,57601,Lowan,44,Western Victoria,8
2097,Lucas,3350,Ballarat City Council,North,50302,Ripon,72,Western Victoria,8
2098,Lucknow,3875,East Gippsland Shire Council,Unsubdivided,53601,Gippsland East,35,Eastern Victoria,2
2099,Lucyvale,3691,Towong Shire Council,Unsubdivided,53201,Benambra,6,Northern Victoria,4
2100,Lurg,3673,Benalla Rural City Council,Unsubdivided,57901,Euroa,27,Northern Victoria,4
2101,Lyal,3444,Greater Bendigo City Council,Eppalock,50201,Bendigo East,7,Northern Victoria,4
2102,Lynbrook,3975,Casey City Council,River Gum,54405,Cranbourne,21,South-Eastern Metropolitan,5
2103,Lynbrook,3975,Casey City Council,River Gum,54405,Narre Warren South,60,South-Eastern Metropolitan,5
2104,Lyndhurst,3975,Casey City Council,Mayfield,54404,Cranbourne,21,South-Eastern Metropolitan,5
2105,Lyndhurst,3975,Greater Dandenong City Council,Dandenong,54702,Carrum,18,South-Eastern Metropolitan,5
2106,Lyons,3304,Glenelg Shire Council,Unsubdivided,51701,Lowan,44,Western Victoria,8
2107,Lyons,3304,Glenelg Shire Council,Unsubdivided,51701,South-West Coast,77,Western Victoria,8
2108,Lyonville,3461,Hepburn Shire Council,Coliban,56403,Macedon,45,Northern Victoria,4
2109,Lysterfield,3156,Knox City Council,Dobson,55005,Rowville,73,South-Eastern Metropolitan,5
2110,Lysterfield,3156,Knox City Council,Taylor,55008,Rowville,73,South-Eastern Metropolitan,5
2111,Lysterfield,3156,Yarra Ranges Shire Council,Lyster,56204,Monbulk,51,Eastern Victoria,2
2112,Lysterfield South,3156,Casey City Council,Four Oaks,54403,Rowville,73,South-Eastern Metropolitan,5
2113,Macarthur,3286,Moyne Shire Council,Unsubdivided,51801,South-West Coast,77,Western Victoria,8
2114,Macclesfield,3782,Yarra Ranges Shire Council,Chandler,56202,Monbulk,51,Eastern Victoria,2
2115,Macedon,3440,Macedon Ranges Shire Council,South,56602,Macedon,45,Northern Victoria,4
2116,Macks Creek,3971,Wellington Shire Council,Coastal,53902,Gippsland South,36,Eastern Victoria,2
2117,Macleod,3085,Banyule City Council,Hawdon,54006,Bundoora,15,Northern Metropolitan,3
2118,Macleod,3085,Banyule City Council,Ibbott,54007,Ivanhoe,39,Eastern Metropolitan,1
2119,Macleod,3085,Darebin City Council,North East,50803,Bundoora,15,Northern Metropolitan,3
2120,Macorna,3579,Gannawarra Shire Council,Patchell,57203,Murray Plains,57,Northern Victoria,4
2121,Macorna,3579,Loddon Shire Council,Boort,56501,Murray Plains,57,Northern Victoria,4
2122,Macorna North,3568,Gannawarra Shire Council,Patchell,57203,Murray Plains,57,Northern Victoria,4
2123,Macs Cove,3723,Mansfield Shire Council,Unsubdivided,58001,Eildon,24,Northern Victoria,4
2124,Madalya,3971,Wellington Shire Council,Coastal,53902,Gippsland South,36,Eastern Victoria,2
2125,Maddingley,3340,Moorabool Shire Council,East Moorabool,50402,Buninyong,16,Western Victoria,8
2126,Maddingley,3340,Moorabool Shire Council,East Moorabool,50402,Melton,48,Western Victoria,8
2127,Mafeking,3379,Ararat Rural City Council,Unsubdivided,51401,Lowan,44,Western Victoria,8
2128,Maffra,3860,Wellington Shire Council,Northern,53903,Gippsland East,35,Eastern Victoria,2
2129,Maffra West Upper,3859,Wellington Shire Council,Northern,53903,Gippsland East,35,Eastern Victoria,2
2130,Magpie,3352,Ballarat City Council,South,50303,Buninyong,16,Western Victoria,8
2131,Maiden Gully,3551,Greater Bendigo City Council,Lockwood,50202,Bendigo West,8,Northern Victoria,4
2132,Maidstone,3012,Maribyrnong City Council,River,55201,Footscray,30,Western Metropolitan,7
2133,Maidstone,3012,Maribyrnong City Council,Stony Creek,55202,Footscray,30,Western Metropolitan,7
2134,Mailors Flat,3275,Moyne Shire Council,Unsubdivided,51801,South-West Coast,77,Western Victoria,8
2135,Main Lead,3373,Pyrenees Shire Council,Beaufort,51902,Ripon,72,Western Victoria,8
2136,Main Lead,3373,Pyrenees Shire Council,Ercildoune,51904,Ripon,72,Western Victoria,8
2137,Main Ridge,3928,Mornington Peninsula Shire Council,Red Hill,55704,Nepean,61,Eastern Victoria,2
2138,Main Ridge,3928,Mornington Peninsula Shire Council,Seawinds,55705,Nepean,61,Eastern Victoria,2
2139,Maindample,3723,Mansfield Shire Council,Unsubdivided,58001,Eildon,24,Northern Victoria,4
2140,Maintongoon,3714,Murrindindi Shire Council,Eildon,53003,Eildon,24,Northern Victoria,4
2141,Major Plains,3725,Benalla Rural City Council,Unsubdivided,57901,Euroa,27,Northern Victoria,4
2142,Major Plains,3725,Greater Shepparton City Council,Unsubdivided,52501,Shepparton,75,Northern Victoria,4
2143,Majorca,3465,Central Goldfields Shire Council,Tullaroop,56304,Ripon,72,Western Victoria,8
2144,Maldon,3463,Mount Alexander Shire Council,Loddon River,56704,Bendigo West,8,Northern Victoria,4
2145,Maldon,3463,Mount Alexander Shire Council,Tarrengower,56705,Bendigo West,8,Northern Victoria,4
2146,Mallacoota,3892,East Gippsland Shire Council,Unsubdivided,53601,Gippsland East,35,Eastern Victoria,2
2147,Malmsbury,3446,Hepburn Shire Council,Holcombe,56405,Macedon,45,Northern Victoria,4
2148,Malmsbury,3446,Macedon Ranges Shire Council,West,56603,Macedon,45,Northern Victoria,4
2149,Malmsbury,3446,Mount Alexander Shire Council,Coliban,56703,Macedon,45,Northern Victoria,4
2150,Malvern,3144,Stonnington City Council,East,51201,Malvern,46,Southern Metropolitan,6
2151,Malvern,3144,Stonnington City Council,North,51202,Malvern,46,Southern Metropolitan,6
2152,Malvern,3144,Stonnington City Council,South,51203,Malvern,46,Southern Metropolitan,6
2153,Malvern East,3145,Stonnington City Council,East,51201,Malvern,46,Southern Metropolitan,6
2154,Mambourin,3024,Wyndham City Council,Iramoo,56103,Werribee,85,Western Metropolitan,7
2155,Manangatang,3546,Swan Hill Rural City Council,Unsubdivided,57001,Mildura,49,Northern Victoria,4
2156,Mandurang,3551,Greater Bendigo City Council,Lockwood,50202,Bendigo East,7,Northern Victoria,4
2157,Mandurang South,3551,Greater Bendigo City Council,Lockwood,50202,Bendigo East,7,Northern Victoria,4
2158,Mangalore,3663,Mitchell Shire Council,North,52802,Euroa,27,Northern Victoria,4
2159,Mangalore,3663,Strathbogie Shire Council,Hughes Creek,53102,Euroa,27,Northern Victoria,4
2160,Mangalore,3663,Strathbogie Shire Council,Lake Nagambie,53103,Euroa,27,Northern Victoria,4
2161,Manifold Heights,3218,Greater Geelong City Council,Brownbill,50602,Geelong,33,Western Victoria,8
2162,Mannerim,3222,Greater Geelong City Council,Bellarine,50601,Bellarine,5,Western Victoria,8
2163,Mannibadar,3360,Golden Plains Shire Council,Unsubdivided,50501,Polwarth,67,Western Victoria,8
2164,Manns Beach,3971,Wellington Shire Council,Coastal,53902,Gippsland South,36,Eastern Victoria,2
2165,Manor Lakes,3024,Wyndham City Council,Iramoo,56103,Werribee,85,Western Metropolitan,7
2166,Manorina,3889,East Gippsland Shire Council,Unsubdivided,53601,Gippsland East,35,Eastern Victoria,2
2167,Mansfield,3722,Mansfield Shire Council,Unsubdivided,58001,Eildon,24,Northern Victoria,4
2168,Maramingo Creek,3891,East Gippsland Shire Council,Unsubdivided,53601,Gippsland East,35,Eastern Victoria,2
